"","V1","V2","V3"
"240",1,1,"Baseline (EN Mean)"
"241",1,1,"Baseline (EN Mean)"
"242",1,1,"Baseline (EN Mean)"
"243",1,1,"Baseline (EN Mean)"
"244",1,1,"Baseline (EN Mean)"
"245",1,1,"Baseline (EN Mean)"
"246",1,1,"Baseline (EN Mean)"
"247",1,1,"Baseline (EN Mean)"
"248",1,1,"Baseline (EN Mean)"
"249",1,1,"Baseline (EN Mean)"
"250",1,1,"Baseline (EN Mean)"
"251",1,1,"Baseline (EN Mean)"
"252",1,1,"Baseline (EN Mean)"
"253",1,1,"Baseline (EN Mean)"
"254",1,1,"Baseline (EN Mean)"
"255",1,1,"Baseline (EN Mean)"
"256",1,1,"Baseline (EN Mean)"
"257",1,1,"Baseline (EN Mean)"
"258",1,1,"Baseline (EN Mean)"
"259",1,1,"Baseline (EN Mean)"
"260",1,1,"Baseline (EN Mean)"
"261",1,1,"Baseline (EN Mean)"
"262",1,1,"Baseline (EN Mean)"
"263",1,1,"Baseline (EN Mean)"
"264",1,1,"Baseline (EN Mean)"
"265",1,1,"Baseline (EN Mean)"
"266",1,1,"Baseline (EN Mean)"
"267",1,1,"Baseline (EN Mean)"
"268",1,1,"Baseline (EN Mean)"
"269",1,1,"Baseline (EN Mean)"
"270",1,1,"Baseline (EN Mean)"
"271",1,1,"Baseline (EN Mean)"
"272",1,1,"Baseline (EN Mean)"
"273",1,1,"Baseline (EN Mean)"
"274",1,1,"Baseline (EN Mean)"
"275",1,1,"Baseline (EN Mean)"
"276",1,1,"Baseline (EN Mean)"
"277",1,1,"Baseline (EN Mean)"
"278",1,1,"Baseline (EN Mean)"
"279",1,1,"Baseline (EN Mean)"
"280",1,1,"Baseline (EN Mean)"
"281",1,1,"Baseline (EN Mean)"
"282",1,1,"Baseline (EN Mean)"
"283",1,1,"Baseline (EN Mean)"
"284",1,1,"Baseline (EN Mean)"
"285",1,1,"Baseline (EN Mean)"
"286",1,1,"Baseline (EN Mean)"
"287",1,1,"Baseline (EN Mean)"
"288",1,1,"Baseline (EN Mean)"
"289",1,1,"Baseline (EN Mean)"
"290",1,1,"Baseline (EN Mean)"
"291",1,1,"Baseline (EN Mean)"
"292",1,1,"Baseline (EN Mean)"
"293",1,1,"Baseline (EN Mean)"
"294",1,1,"Baseline (EN Mean)"
"295",1,1,"Baseline (EN Mean)"
"296",1,1,"Baseline (EN Mean)"
"297",1,1,"Baseline (EN Mean)"
"298",1,1,"Baseline (EN Mean)"
"299",1,1,"Baseline (EN Mean)"
"300",1,1,"Baseline (EN Mean)"
"301",1,1,"Baseline (EN Mean)"
"302",1,1,"Baseline (EN Mean)"
"303",1,1,"Baseline (EN Mean)"
"304",1,1,"Baseline (EN Mean)"
"305",1,1,"Baseline (EN Mean)"
"306",1,1,"Baseline (EN Mean)"
"307",1,1,"Baseline (EN Mean)"
"308",1,1,"Baseline (EN Mean)"
